title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
"Citroen Berlingo Selection - Benzin, Klima, Multispace",3400.0,Sehr guter Preis,208000.0,02/2016,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo Kombi Selection,3480.0,Sehr guter Preis,324199.0,04/2014,Schaltgetriebe,Benzin,72 kW (98 PS),"7,1 l/100 km (komb.)",168 g/km (komb.)
Citroen Berlingo Kombi Silver Selection,3990.0,Sehr guter Preis,208894.0,02/2012,Schaltgetriebe,Diesel,68 kW (92 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Selection Multispace15/TÜV neu/AHK+Klima+Tempom,3999.0,Sehr guter Preis,282000.0,08/2014,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo 1.6 HDi | AUTOMATIK | KLIMA | 5-TÜRER,4400.0,Guter Preis,248880.0,01/2012,Automatik,Diesel,68 kW (92 PS),"5,0 l/100 km (komb.)",133 g/km (komb.)
Citroen Berlingo 1.6 VTi 120 Selection,4499.0,Guter Preis,157241.0,05/2013,Schaltgetriebe,Benzin,88 kW (120 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.6 HDI Selection 2HAND/EURO5/KLIMA/PDC,4500.0,Sehr guter Preis,194000.0,09/2012,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo Kombi Diesel  5-Türer e-HDi 90 FAP EGS6 Multispace,4500.0,Sehr guter Preis,181000.0,02/2012,Automatik,Diesel,68 kW (92 PS),- (l/100 km),- (g/km)
Citroen Berlingo Selection,4650.0,Guter Preis,195000.0,09/2012,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo e-HDi 90 FAP EGS6 Multispace Exclusive,4650.0,Guter Preis,260000.0,06/2013,Automatik,Diesel,68 kW (92 PS),"4,8 l/100 km (komb.)",- (g/km)
Citroen Berlingo Kombi Multispace 1.6 /Klimaanlage/EURO5,4990.0,Guter Preis,135000.0,01/2012,Schaltgetriebe,Benzin,88 kW (120 PS),"7,5 l/100 km (komb.)",173 g/km (komb.)
Citroen Berlingo 1.6 Hdi Selection 114PS PKW Klima Neu.Kd,4999.0,Guter Preis,241626.0,10/2012,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",139 g/km (komb.)
Citroen Berlingo Multispace 1.6 HDI Exclusive,5200.0,Erhöhter Preis,232000.0,06/2013,Schaltgetriebe,Diesel,84 kW (114 PS),"4,9 l/100 km (komb.)",129 g/km (komb.)
Citroen Berlingo Multispace HDi 90 FAP Tendance,5400.0,Fairer Preis,206000.0,06/2013,Schaltgetriebe,Diesel,68 kW (92 PS),"5,2 l/100 km (komb.)",135 g/km (komb.)
Citroen Berlingo Kombi/Klima/Temp/8-fachBereifung,5499.0,Fairer Preis,187133.0,10/2015,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo Berlingo Multispace VTi 120 Tendance,5500.0,Guter Preis,175000.0,05/2013,Schaltgetriebe,Benzin,88 kW (120 PS),"7,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo Kombi Selection l PANORAMA l 2.HAND l,5690.0,Guter Preis,223100.0,09/2012,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",139 g/km (komb.)
Citroen Berlingo Selection,5699.0,Sehr guter Preis,180000.0,11/2013,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo Kombi 1.6 VTi Klimaanlage PDC Tempo,5699.0,Fairer Preis,99290.0,08/2012,Schaltgetriebe,Benzin,88 kW (120 PS),- (l/100 km),- (g/km)
Citroen Berlingo XTR,5890.0,Fairer Preis,214000.0,01/2013,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Multispace Attraction,5899.0,Erhöhter Preis,187442.0,03/2013,Schaltgetriebe,Diesel,55 kW (75 PS),"5,2 l/100 km (komb.)",138 g/km (komb.)
Citroen Berlingo Kombi Selection/KLIMA/PDC/,5900.0,Sehr guter Preis,130521.0,09/2014,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo Selection,5950.0,Fairer Preis,212530.0,05/2013,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Berlingo Multispace HDi 115 FAP Selection,5990.0,Fairer Preis,209000.0,03/2015,Schaltgetriebe,Diesel,84 kW (114 PS),"4,9 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.6 Multispace XTR*SHZ*,5990.0,Sehr guter Preis,140000.0,09/2014,Schaltgetriebe,Benzin,88 kW (120 PS),"7,3 l/100 km (komb.)",173 g/km (komb.)
Citroen Berlingo Berlingo Multispace 1.6 VTi 95*Klima*Schiebetür,6250.0,Fairer Preis,133052.0,03/2013,Schaltgetriebe,Benzin,72 kW (98 PS),"7,2 l/100 km (komb.)",164 g/km (komb.)
Citroen Berlingo Kombi Selection,6295.0,Sehr guter Preis,153000.0,03/2018,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo Kombi Selection,6350.0,Fairer Preis,215000.0,06/2015,Schaltgetriebe,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo 1.6 e-HDI Selection / Klimaautomatik / LED,6400.0,Sehr guter Preis,176515.0,03/2013,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo Kombi Diesel 5-Türer Multispace HDi 115,6400.0,Guter Preis,187000.0,08/2014,Schaltgetriebe,Diesel,84 kW (114 PS),"4,9 l/100 km (komb.)",- (g/km)
Citroen Berlingo Selection,6500.0,Guter Preis,157700.0,05/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Berlingo Multispace e-HDi 90 FAP EGS6 Tendance,6500.0,Fairer Preis,191000.0,08/2014,Automatik,Diesel,68 kW (92 PS),"4,4 l/100 km (komb.)",- (g/km)
"Citroen Berlingo Kombi Selection  1,6 diesel",6500.0,Guter Preis,195000.0,08/2014,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo Kombi Selection*TÜV NEU*GARANTIE*,6750.0,Fairer Preis,164250.0,11/2013,Schaltgetriebe,Benzin,72 kW (98 PS),"7,1 l/100 km (komb.)",168 g/km (komb.)
"Citroen Berlingo Selection ""SITZH-KLIMA-PDC-TÜV NEU""",6790.0,Sehr guter Preis,185000.0,11/2012,Automatik,Diesel,68 kW (92 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kombi Live TÜV NEU,6950.0,Guter Preis,185000.0,02/2018,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo Multispace BlueHDI Selection*PDC*TMP,6990.0,Sehr guter Preis,133500.0,06/2015,Schaltgetriebe,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Multispace*PDC*Klima*SR/WR*HUneu*,6990.0,Fairer Preis,141500.0,05/2012,Schaltgetriebe,Benzin,88 kW (120 PS),"7,5 l/100 km (komb.)",173 g/km (komb.)
Citroen Berlingo Multispace 1.2 THP Alu/Klima/PTS/Tempomat,6990.0,Sehr guter Preis,140500.0,11/2017,Schaltgetriebe,Benzin,81 kW (110 PS),"5,1 l/100 km (komb.)",119 g/km (komb.)
Citroen Berlingo Selection 1.6l*AUTOMATIK*KLIMA*PDC*,6999.0,Fairer Preis,206930.0,06/2014,Automatik,Diesel,68 kW (92 PS),"5,0 l/100 km (komb.)",133 g/km (komb.)
"Citroen Berlingo Kombi Selection,Mutispace,AHK,Gepflegt,",6999.0,Guter Preis,190000.0,02/2016,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo 1.6 HDi 90 FAP Multispace,6999.0,Guter Preis,152354.0,08/2012,Schaltgetriebe,Diesel,68 kW (92 PS),"5,3 l/100 km (komb.)",139 g/km (komb.)
Citroen Berlingo Kombi Selection TÜV NEU*1.HAND*AHK,7200.0,Sehr guter Preis,116000.0,05/2014,Schaltgetriebe,Diesel,68 kW (92 PS),"4,9 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo 1.6 Selection Multispace 1.Hand*HU/AU NEU*PDC*Temp,7350.0,Fairer Preis,141000.0,12/2012,Schaltgetriebe,Benzin,72 kW (98 PS),"7,1 l/100 km (komb.)",168 g/km (komb.)
"Citroen Berlingo Kombi Selection,Multispace",7390.0,Fairer Preis,133000.0,08/2012,Schaltgetriebe,Benzin,72 kW (98 PS),"7,1 l/100 km (komb.)",168 g/km (komb.)
Citroen Berlingo Schaltung*Rollstuhl*Rampe*PDC*Grau*§25a,7400.0,Erhöhter Preis,358000.0,02/2018,Schaltgetriebe,Diesel,88 kW (120 PS),"4,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.6 BlueHDi 120 Shine Klimaaut. AHK SHZ,7485.0,Sehr guter Preis,163500.0,11/2015,Schaltgetriebe,Diesel,88 kW (120 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kombi Selection,7490.0,Sehr guter Preis,189800.0,02/2017,Schaltgetriebe,Diesel,88 kW (120 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo Kombi Selection,7500.0,Sehr guter Preis,128500.0,08/2018,Schaltgetriebe,Benzin,88 kW (120 PS),"6,5 l/100 km (komb.)",154 g/km (komb.)
Citroen Berlingo Selection,7500.0,Sehr guter Preis,148611.0,05/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Kombi Selection*KLIMA*PDC*TEMPOMAT*,7500.0,Fairer Preis,189860.0,05/2014,Schaltgetriebe,Diesel,84 kW (114 PS),"5,3 l/100 km (komb.)",140 g/km (komb.)
Citroen Berlingo 1.6 HDi Klima Tempom. Sitzheiz. 73KW E6,7700.0,Fairer Preis,149476.0,07/2017,Schaltgetriebe,Diesel,73 kW (99 PS),- (l/100 km),131 g/km (komb.)
Citroen Berlingo BERLINGO SELECTION 1.6Hdi 5SITZER KLIMA 109Co E6,7795.0,Guter Preis,177500.0,03/2018,Schaltgetriebe,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Kombi Shine Navi MyWay Sitzheiz. EXPORT,7810.0,Fairer Preis,134618.0,11/2016,Schaltgetriebe,Benzin,81 kW (110 PS),"5,1 l/100 km (komb.)",119 g/km (komb.)
