title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo MPV Plus M 1.2 PT110 ACC°LED°PDC°CarPlay°DAB,25290.0,Fairer Preis,50.0,02/2025,Schaltgetriebe,Benzin,81 kW (110 PS),"6,8 l/100 km (komb.)",153 g/km (komb.)
"Citroen Berlingo PLUS 100 16Z 10""-DAB PDC PrivG 2xSchieb 75 kW (...",25328.0,Keine Angabe,10.0,04/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,3 l/100 km (komb.)",138 g/km (komb.)
"Citroen Berlingo PLUS 100 16Z 10""-DAB PDC PrivG 2xSchieb 75 kW (...",25328.0,Keine Angabe,10.0,04/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,3 l/100 km (komb.)",138 g/km (komb.)
"Citroen Berlingo PLUS 100 16Z 10""-DAB PDC PrivG 2xSchieb 75 kW (...",25328.0,Keine Angabe,10.0,04/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,3 l/100 km (komb.)",138 g/km (komb.)
Citroen Berlingo MPV M BlueHDi 100 FEEL,25365.0,Keine Angabe,16155.0,09/2023,Schaltgetriebe,Diesel,75 kW (102 PS),"5,7 l/100 km (komb.)",150 g/km (komb.)
"Citroen Berlingo M PureTech 110 PLUS (E) Sitzhzg. Kamera,",25400.0,Keine Angabe,150.0,07/2024,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",143 g/km (komb.)
Citroen Berlingo PLUS 100 M Kam DigCo 2xSchiebetür Temp 75 kW (1...,25410.0,Keine Angabe,10.0,02/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,3 l/100 km (komb.)",138 g/km (komb.)
Citroen Berlingo Plus M PureTech 110 PS *Kamera,25490.0,Keine Angabe,10.0,12/2024,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",143 g/km (komb.)
Citroen Berlingo Plus M,25490.0,Guter Preis,15000.0,04/2024,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo PLUS 1.2l  MPV M (110PS) +RFK+LKW,25790.0,Keine Angabe,5.0,- (Erstzulassung),Schaltgetriebe,Benzin,81 kW (110 PS),"7,6 l/100 km (komb.)",171 g/km (komb.)
Citroen Berlingo M PureTech 110 PLUS Style&Comfort Paket Kamera,25490.0,Keine Angabe,3000.0,06/2024,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",143 g/km (komb.)
Citroen Berlingo Kombi/Behindertengerechte-Rampe,25500.0,Erhöhter Preis,32791.0,10/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,1 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo ë-Berlingo M Elektromotor 136 Shine XTR,25585.0,Guter Preis,5000.0,10/2023,Automatik,Elektro,100 kW (136 PS),- (l/100 km),0 g/km (komb.)
Citroen Berlingo Shine Elektromotor M 7-Sitzer,25590.0,Fairer Preis,9712.0,07/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo Shine Elektromotor M,25590.0,Fairer Preis,14444.0,07/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo e-Berlingo Shine M 7Sitze/AT/Navi/Shz/180°Kamera/K,25590.0,Fairer Preis,15342.0,07/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo e-Berlingo Shine M 7Sitze/AT/Allw/Navi/Shz/180°Kam,25590.0,Guter Preis,8695.0,05/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo e-Berlingo Shine M 7Sitze/AT/Allw/Navi/Shz/180°Kam,25590.0,Fairer Preis,25265.0,06/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
"Citroen Berlingo M Plus 1,5 BHDI FWD Schaltgetriebe 74KW/100PS S...",25990.0,Guter Preis,20.0,02/2025,Schaltgetriebe,Diesel,74 kW (101 PS),"5,4 l/100 km (komb.)",142 g/km (komb.)
Citroen Berlingo MPV 110 Plus,26190.0,Fairer Preis,1500.0,07/2024,Schaltgetriebe,Benzin,80 kW (109 PS),"6,4 l/100 km (komb.)",144 g/km (komb.)
Citroen Berlingo Shine Elektromotor M,25590.0,Fairer Preis,10768.0,05/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo Feel Pack XL*MFL*NAVI*SHZ*CAM*LED*PDC*T,25598.0,Keine Angabe,28000.0,05/2023,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
"Citroen Berlingo PLUS 100 16Z 10""-DAB PDC PrivG 2xSchieb 75 kW (...",25728.0,Keine Angabe,10.0,03/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,3 l/100 km (komb.)",138 g/km (komb.)
Citroen Berlingo Feel M,25750.0,Erhöhter Preis,59200.0,02/2021,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo PLUS 1.2l  MPV M (110PS) +RFK+LKW,25790.0,Keine Angabe,5.0,- (Erstzulassung),Schaltgetriebe,Benzin,81 kW (110 PS),"7,6 l/100 km (komb.)",171 g/km (komb.)
Citroen Berlingo MPV Feel M 1.2 PT110  LED°CarPlay°PDC°ACC°DAB°NSW,25790.0,Guter Preis,50.0,02/2025,Schaltgetriebe,Benzin,81 kW (110 PS),"7,1 l/100 km (komb.)",160 g/km (komb.)
Citroen Berlingo PLUS 1.2l  MPV M (110PS) +RFK+LKW,25790.0,Keine Angabe,50.0,- (Erstzulassung),Schaltgetriebe,Benzin,81 kW (110 PS),"7,6 l/100 km (komb.)",171 g/km (komb.)
Citroen Berlingo MPV XL You BlueHDi 100 *BESTELLER*,25790.0,Fairer Preis,10.0,01/2025,Schaltgetriebe,Diesel,75 kW (102 PS),"5,6 l/100 km (komb.)",146 g/km (komb.)
"Citroen Berlingo M Plus 1,5 BHDI FWD Schaltgetriebe 74KW/100PS S...",25840.0,Keine Angabe,20.0,- (Erstzulassung),Schaltgetriebe,Diesel,74 kW (101 PS),"5,4 l/100 km (komb.)",142 g/km (komb.)
Citroen Berlingo PLUS 1.2l MPV M (110PS) SCHALTER +MET++,26390.0,Keine Angabe,50.0,- (Erstzulassung),Schaltgetriebe,Benzin,81 kW (110 PS),"7,6 l/100 km (komb.)",171 g/km (komb.)
"Citroen Berlingo M Plus 1,5 BHDI FWD Schaltgetriebe 74KW/100PS S...",25840.0,Keine Angabe,20.0,- (Erstzulassung),Schaltgetriebe,Diesel,74 kW (101 PS),"5,4 l/100 km (komb.)",142 g/km (komb.)
"Citroen Berlingo M Plus 1,5 BHDI FWD Schaltgetriebe 74KW/100PS S...",25840.0,Keine Angabe,20.0,- (Erstzulassung),Schaltgetriebe,Diesel,74 kW (101 PS),"5,4 l/100 km (komb.)",142 g/km (komb.)
Citroen Berlingo ë-Berlingo Berlingo M Elektro 136 PS Shine,25840.0,Keine Angabe,9633.0,12/2022,Automatik,Elektro,100 kW (136 PS),"19,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo -e Shine M 7Sitze/AT/Navi/Shz/180°Kamera/Klimaauto,25890.0,Guter Preis,10841.0,07/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
"Citroen Berlingo Pure Tech 110 Plus M, Kamera, PKW",25900.0,Keine Angabe,10.0,02/2025,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",145 g/km (komb.)
Citroen Berlingo MPV You XL,25900.0,Keine Angabe,10.0,10/2024,Schaltgetriebe,Benzin,81 kW (110 PS),"6,8 l/100 km (komb.)",153 g/km (komb.)
Citroen Berlingo ë-Berlingo M Elektromotor 136 FEEL,25900.0,Guter Preis,2500.0,09/2023,Automatik,Elektro,100 kW (136 PS),,0 g/km (komb.)
Citroen Berlingo Plus 1.2 EU6e M PureTech 110 PLUS Digitales Cockpi,25900.0,Fairer Preis,10.0,12/2024,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",143 g/km (komb.)
Citroen Berlingo PLus PT 110 1.2  LED°CarPlay°ACC°RFK°,26590.0,Fairer Preis,50.0,02/2025,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",144 g/km (komb.)
Citroen Berlingo PLus PT 110 1.2  LED°CarPlay°ACC°RFK°,26590.0,Fairer Preis,50.0,02/2025,Schaltgetriebe,Benzin,81 kW (110 PS),"6,4 l/100 km (komb.)",144 g/km (komb.)
