title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Kasten Business L2,7000.0,Guter Preis,160000.0,10/2016,Schaltgetriebe,Diesel,88 kW (120 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo 1.6 HDi 100 L1 Kasten geschl. Klima PDC,7185.0,Sehr guter Preis,104826.0,12/2017,Schaltgetriebe,Diesel,73 kW (99 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten Business L2,7200.0,Guter Preis,125000.0,06/2018,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo 1.6 HDi Klima Tempom. Sitzheiz. 73KW E6,7300.0,Guter Preis,149287.0,08/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo Club - 1.5D - KLIMA - EURO 6 - TÜV NEU,7450.0,Fairer Preis,263000.0,09/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo 1.6 HDi Pickup *Einzelstück*nur 61 TKM*Klima*,7450.0,Sehr guter Preis,61450.0,01/2015,Schaltgetriebe,Diesel,66 kW (90 PS),"5,1 l/100 km (komb.)",133 g/km (komb.)
Citroen Berlingo Kasten Business L1 *Kamera* 3 Sitzpl.,7490.0,Guter Preis,167189.0,10/2018,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",154 g/km (komb.)
Citroen Berlingo Kasten Business L1 *19%MwSt*TÜV NEU*AHK,7499.0,Guter Preis,90195.0,09/2016,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Electric Niveau B L1*3-Sitze*Kli,7795.0,Guter Preis,12756.0,10/2015,Automatik,Elektro,49 kW (67 PS),- (l/100 km),0 g/km (komb.)
Citroen Berlingo Elektrowagen Aut Klima PTS 49Tkm Regale,7890.0,Guter Preis,49247.0,01/2018,Automatik,Elektro,49 kW (67 PS),,0 g/km (komb.)
Citroen Berlingo Kasten Proline*Navi*Phone*TÜV+SERVICE+G,7890.0,Fairer Preis,119980.0,10/2016,Schaltgetriebe,Diesel,55 kW (75 PS),"5,1 l/100 km (komb.)",135 g/km (komb.)
"Citroen Berlingo Profi L1,1.Hand,Top gepflegt,Scheckheft,AHK,usw.!",7950.0,Guter Preis,111000.0,02/2018,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Business XL/L2 3-Sitzer *TÜV 2/2027*,7980.0,Erhöhter Preis,86000.0,09/2015,Schaltgetriebe,Diesel,66 kW (90 PS),"5,5 l/100 km (komb.)",146 g/km (komb.)
Citroen Berlingo Kasten Business L2,7990.0,Sehr guter Preis,185000.0,05/2018,Schaltgetriebe,Diesel,88 kW (120 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo Kasten Proline Kamera Klima tüv bis1/27,8450.0,Fairer Preis,159053.0,11/2018,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo 1.6 Blue-HDI FAP Kasten Business L1,8499.0,Sehr guter Preis,91000.0,05/2018,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo L1 1.6 HDi 75 FAP Transline,8500.0,Guter Preis,70000.0,01/2017,Schaltgetriebe,Diesel,55 kW (75 PS),"5,0 l/100 km (komb.)",131 g/km (komb.)
Citroen Berlingo Berlingo L1 1.6 BlueHDi 75 FAP Business,8550.0,Erhöhter Preis,146704.0,08/2017,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo 1.5 Blue-HDI FAP 131PS Driver M/L1,8690.0,Keine Angabe,180200.0,11/2018,Schaltgetriebe,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",119 g/km (komb.)
