title,price,price_label,mileage,first_registration,transmission,fuel_type,power_kW,power_PS,consumption,co2_emissions,vehicle_type,age_months,age_years
Citroen Berlingo Feel M,11500,Erhöhter Preis,179000,2019-05-01,Schaltgetriebe,Diesel,75,102,4.3,114.0,minivan,72,6
Citroen Berlingo 1.2T Live M 2xSCHIEBETÜR/SPURASSISTENT,11550,Sehr guter Preis,70440,2019-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,68,5
"Citroen Berlingo Multispace VTi 1,6 Selection",11550,Keine Angabe,110200,2014-09-01,Schaltgetriebe,Benzin,88,120,7.3,169.0,minivan,128,10
Citroen Berlingo 1.2T Live M 2xSCHIEBETÜR/SPURASSISTENT,11580,Sehr guter Preis,65940,2019-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,68,5
"Citroen Berlingo Selection, AHK, Navigationssystem, scheckheftgepfl",11680,Sehr guter Preis,108500,2018-05-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,84,7
Citroen Berlingo Multispace 1.6 Selection-Kamera-Carplay,11750,Keine Angabe,100000,2017-12-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,89,7
Citroen Berlingo Kombi Shine +LED+PANO+AKH+SHZ+PDC+EU6,11770,Guter Preis,116700,2015-11-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,114,9
Citroen Berlingo Feel M 1.5 BlueHDi 100 FAP EU6d-T Apple CarPlay An,11789,Sehr guter Preis,161000,2019-11-01,Schaltgetriebe,Diesel,75,102,,,minivan,66,5
Citroen Berlingo 1.6 XTR*Multispace*Navi*Carplay*kamera*,11790,Fairer Preis,140000,2018-08-01,Schaltgetriebe,Benzin,88,120,7.3,173.0,minivan,81,6
Citroen Berlingo M BlueHDi 100 LIVE 7 Sitzer,11799,Sehr guter Preis,172000,2019-10-01,Schaltgetriebe,Diesel,75,102,4.1,107.0,minivan,67,5
Citroen Berlingo Live M,11799,Fairer Preis,99854,2019-09-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,68,5
Citroen Berlingo Selection *5 SITZE/AUTOMATIK/DIESEL*,11800,Fairer Preis,87000,2017-03-01,Automatik,Diesel,73,99,4.2,109.0,minivan,98,8
Citroen Berlingo 1.2T Live M 2xSCHIEBETÜR/SPURASSISTENT,11810,Sehr guter Preis,68460,2019-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,68,5
Citroen Berlingo 1.2T Live M  2xSCHIEBETÜR/SPURASSISTENT,11870,Sehr guter Preis,67640,2019-10-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,67,5
Citroen Berlingo 1.2T Live M  2xSCHIEBETÜR/SPURASSISTENT,11890,Sehr guter Preis,65750,2019-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,68,5
"Citroen Berlingo 1,6 Selection*1.Hand*Klima*PDC*SR+WR",11900,Keine Angabe,55000,2015-03-01,Schaltgetriebe,Benzin,88,120,,164.0,minivan,122,10
"Citroen Berlingo Live M 1,2 Ltr. - 81 kW 12V / Navi",11900,Sehr guter Preis,156232,2020-02-01,Schaltgetriebe,Benzin,81,110,5.3,123.0,minivan,63,5
Citroen Berlingo Live M,11900,Guter Preis,105389,2019-04-01,Schaltgetriebe,Diesel,75,102,,,minivan,73,6
Citroen Berlingo Kombi Selection,11900,Erhöhter Preis,79000,2017-12-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,89,7
Citroen Berlingo Kombi Selection,11950,Fairer Preis,89771,2016-06-01,Schaltgetriebe,Benzin,72,98,7.1,148.0,minivan,107,8
Citroen Berlingo 1.6 HDi Selection Automatik TÜV Neu,11950,Keine Angabe,31830,2015-12-01,Automatik,Diesel,73,99,4.2,109.0,minivan,113,9
"Citroen Berlingo Kombi Selection 2,deut.H. Tüv neu!!",11990,Keine Angabe,84000,2018-11-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,78,6
"Citroen Berlingo Selection 1,2 THP",11990,Fairer Preis,91885,2017-07-01,Schaltgetriebe,Benzin,81,110,5.1,,minivan,94,7
Citroen Berlingo Multispace VTi 95 SELECTION,11990,Guter Preis,64000,2017-12-01,Schaltgetriebe,Benzin,72,98,6.4,148.0,minivan,89,7
Citroen Berlingo Kombi Shine Navi-AHK-Panoramadach,11990,Sehr guter Preis,109000,2018-03-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,86,7
Citroen Berlingo HDi 90 FAP Multispace *1.HAND*Einzelsitze hinten*,11990,Sehr guter Preis,28990,2012-01-01,Schaltgetriebe,Diesel,68,92,5.3,140.0,minivan,160,13
Citroen Berlingo Selection   TÜV Neu Anhängerkupplung,11990,Sehr guter Preis,56129,2018-12-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,77,6
Citroen Berlingo Berlingo Kombi Selection *SHZ*KLIMA*PDC*,11990,Fairer Preis,100462,2017-06-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,95,7
Citroen Berlingo Kombi Selection*PDC*PANORA*MFL*GRA*LED*,11990,Fairer Preis,78820,2015-11-01,Schaltgetriebe,Benzin,88,120,6.5,154.0,minivan,114,9
"Citroen Berlingo BERLINGO PurTech,  Klima,Radio,ZV,AHZV",11990,Sehr guter Preis,91500,2017-09-01,Schaltgetriebe,Benzin,81,110,6.7,137.0,minivan,92,7
Citroen Berlingo Multispace Shine Aut. Navi Kamera SHZ,11990,Fairer Preis,102000,2017-01-01,Automatik,Diesel,73,99,4.1,109.0,minivan,100,8
Citroen Berlingo Kombi Selection Business-Paket Sport,11999,Guter Preis,79000,2018-07-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,82,6
Citroen Berlingo Multispace Selection Automatik 92 Tkm.,11999,Fairer Preis,92296,2017-03-01,Automatik,Diesel,73,99,4.2,109.0,minivan,98,8
Citroen Berlingo Kombi Selection 5 Sitze Klima 8x Räder,11999,Guter Preis,74617,2018-01-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,88,7
Citroen Berlingo Kombi XTR Navi Tempomat PDC Scheckheft,11999,Guter Preis,119000,2016-07-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,106,8
Citroen Berlingo MPV M BlueHDi 100 LIVE PACK,12000,Sehr guter Preis,130000,2022-12-01,Schaltgetriebe,Diesel,75,102,,,minivan,29,2
Citroen Berlingo 1.Hand*Zahnriemen + Kupplung Neu*,12000,Sehr guter Preis,114000,2019-09-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,68,5
Citroen Berlingo 1.2T Live M  2xSCHIEBETÜR/SPURASSISTENT,12100,Sehr guter Preis,64690,2019-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,68,5
Citroen Berlingo Selection *TEMPOMAT*NAVI*GJR*KLIMA*,12375,Sehr guter Preis,78216,2016-09-01,Schaltgetriebe,Diesel,73,99,,,minivan,104,8
Citroen Berlingo Live M Bluetooth*Klima*Spurassi.*Tempo*,12480,Fairer Preis,146636,2019-11-01,Schaltgetriebe,Diesel,75,102,4.1,108.0,minivan,66,5
Citroen Berlingo Kombi Selection 1.2 PureTech Klimaat/SHZ/Temp,12490,Fairer Preis,79000,2016-11-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,102,8
Citroen Berlingo Kombi Puretech110 Selection CAM+SHZ FON,12490,Guter Preis,118860,2018-06-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,83,6
Citroen Berlingo Multispace BlueHDi 120 S&S 90 Jahre,12490,Erhöhter Preis,130000,2018-01-01,Schaltgetriebe,Diesel,88,120,4.4,115.0,minivan,88,7
Citroen Berlingo Selection,12499,Erhöhter Preis,124989,2016-11-01,Automatik,Diesel,73,99,4.2,109.0,minivan,102,8
Citroen Berlingo Feel M,12500,Erhöhter Preis,178000,2018-11-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,78,6
Citroen Berlingo Live M*1.Hand*Bluetooth*USB*,12500,Sehr guter Preis,97500,2019-09-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,68,5
Citroen Berlingo 1.6 Blue-HDi Shine *NAVI*TEMPO*PDC*SHZ*AHK*,12780,Guter Preis,93520,2017-05-01,Schaltgetriebe,Diesel,88,120,4.4,113.0,minivan,96,8
Citroen Berlingo Multispace PureTech 110 SHINE *1.HAND*,12790,Sehr guter Preis,95000,2018-06-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,83,6
Citroen Berlingo M PureTech 110 Feel KLIMAAUTOMATIK PDC,12899,Guter Preis,140400,2019-04-01,Schaltgetriebe,Benzin,81,110,,,minivan,73,6
Citroen Berlingo *Super gepflegt TOP*Tech.u.Optisch,12900,Sehr guter Preis,136000,2023-02-01,Schaltgetriebe,Diesel,75,102,,,minivan,27,2
Citroen Berlingo Multispace VTi 95 Tendance Behindertenu,12900,Sehr guter Preis,92000,2012-10-01,Schaltgetriebe,Benzin,72,98,,,minivan,151,12
Citroen Berlingo BlueHDi MULTISPACE*KAMERA*TEMPOMAT*DAB*PANO*SHZ*,12950,Fairer Preis,113799,2018-02-01,Schaltgetriebe,Diesel,73,99,4.2,,minivan,87,7
"Citroen Berlingo Feel M 130, NAVI,KAMERA",12950,Keine Angabe,146537,2018-10-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,79,6
Citroen Berlingo Selction,12950,Erhöhter Preis,88700,2017-05-01,Schaltgetriebe,Diesel,73,99,,,minivan,96,8
Citroen Berlingo Berlingo+Multispace+BlueHDi+100+S,12950,Fairer Preis,130000,2018-01-01,Automatik,Diesel,73,99,4.2,,minivan,88,7
Citroen Berlingo Live M*Navi*Carplay*PDC*Klima*,12950,Guter Preis,105800,2019-03-01,Schaltgetriebe,Diesel,75,102,4.3,114.0,minivan,74,6
Citroen Berlingo Multispace VTi 120 Exclusive,12950,Keine Angabe,84000,2014-10-01,Schaltgetriebe,Benzin,88,120,7.3,169.0,minivan,127,10
Citroen Berlingo Kombi Selection 1.6 BlueHDi 100 FAP Temp/PDC,12990,Sehr guter Preis,56000,2018-08-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,81,6
Citroen Berlingo Kombi Selection AUTOMATIK|R.KAM|AHK|,12990,Fairer Preis,98400,2015-09-01,Automatik,Diesel,73,99,4.2,109.0,minivan,116,9
Citroen Berlingo AHK*Navi*EPH*Sitzh*Bluet*USB*Klima,12990,Hoher Preis,117200,2017-07-01,Schaltgetriebe,Benzin,81,110,,,minivan,94,7
Citroen Berlingo 1.2Live KLIMA/TÜV NEU/12 MONATE GARANTIE,12990,Guter Preis,88553,2019-08-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,69,5
"Citroen Berlingo Selection, 1. Hand, DAB+",12990,Fairer Preis,72000,2017-01-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,100,8
Citroen Berlingo 1.5 HDI Feel M+Navi+Kamera+PDC+SHZ+Temp,12999,Fairer Preis,129200,2018-12-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,77,6
Citroen Berlingo Berlingo M PureTech 110 LIVE,12999,Erhöhter Preis,134678,2019-10-01,Schaltgetriebe,Benzin,81,110,5.3,,minivan,67,5
Citroen Berlingo Feel M 1 Hand Standheizung Tüv 04.2026,12999,Fairer Preis,164195,2019-06-01,Schaltgetriebe,Diesel,96,131,4.5,119.0,minivan,71,5
Citroen Berlingo Kombi Shine *NAVI*KAMERA*AHK*PDC*SHZ*,12999,Guter Preis,98079,2018-06-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,83,6
Citroen Berlingo *7 Sitzer* Kombi Shine *MULTISPACE*NAVI,13290,Fairer Preis,98006,2018-03-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,86,7
Citroen Berlingo Shine AHK-abnehmbar Kamera Navi Klimaautom Allwett,13490,Sehr guter Preis,67500,2017-05-01,Schaltgetriebe,Benzin,81,110,,,minivan,96,8
Citroen Berlingo Berlingo Kombi  4-Türer Multispace VTi 95 LIVE,13500,Erhöhter Preis,36752,2017-10-01,Schaltgetriebe,Benzin,72,98,6.4,,minivan,91,7
Citroen Berlingo 1.6 HDi Multispace Selection *TÜV neu*,13500,Keine Angabe,52700,2015-04-01,Schaltgetriebe,Diesel,84,114,4.9,134.0,minivan,121,10
Citroen Berlingo Multispace Blue HDi 120 Selection / Navigation,13550,Fairer Preis,106796,2018-01-01,Schaltgetriebe,Diesel,88,120,4.4,115.0,minivan,88,7
Citroen Berlingo Selection.-Klimaanl.-8-fach ber.-2x Schiebetür,13690,Fairer Preis,26745,2017-11-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,90,7
Citroen Berlingo eHDi 90 FAP Rollstuhlgerecht ROLLSTUHL,13700,Fairer Preis,71000,2012-03-01,Schaltgetriebe,Diesel,68,92,5.3,140.0,minivan,158,13
Citroen Berlingo Feel M Xtrail*Navi*R-Kam*Head-Up*AHK*,13850,Sehr guter Preis,91320,2019-02-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,75,6
Citroen Berlingo 1.5 HDI Feel Navi KLIMA Temp. DAB+ PDC,13860,Fairer Preis,146410,2020-03-01,Schaltgetriebe,Diesel,75,102,4.0,106.0,minivan,62,5
"Citroen Berlingo Kombi 1,6 eHDi 90 FAP Selection Autom.",13880,Fairer Preis,96400,2015-03-01,Automatik,Diesel,68,92,5.0,115.0,minivan,122,10
Citroen Berlingo 1.5BHDi Feel XL S&S+TEMPO+PDC+KLIMA,13900,Fairer Preis,146203,2020-11-01,Schaltgetriebe,Diesel,96,131,,,minivan,54,4
Citroen Berlingo Start M,13900,Keine Angabe,68000,2020-10-01,N/A,Benzin,81,110,5.5,126.0,minivan,55,4
Citroen Berlingo Kombi Shine PureTech 110 1.2 AHK-abnehmbar Navi Kl,13980,Guter Preis,85321,2018-01-01,Schaltgetriebe,Benzin,81,110,,,minivan,88,7
Citroen Berlingo 1.2 PureTech 110 Live M 7-Sitzer,13980,Guter Preis,88669,2020-03-01,Schaltgetriebe,Benzin,81,110,,,minivan,62,5
Citroen Berlingo Full Electric Multispace Shine,13980,Erhöhter Preis,11000,2018-03-01,Automatik,Elektro,35,48,0.0,0.0,minivan,86,7
Citroen Berlingo Selection 1.6 Allwetter+Klimaauto+PDC-h.,13990,Erhöhter Preis,97544,2017-12-01,Schaltgetriebe,Benzin,88,120,,,minivan,89,7
"Citroen Berlingo Kombi Shine NAVI, GLASDACH, SITZHEIZUNG",13990,Guter Preis,89435,2016-12-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,101,8
Citroen Berlingo Kombi Feel XL BlueHDi 130 STANDHEIZUNG,13990,Keine Angabe,155097,2020-07-01,Schaltgetriebe,Diesel,96,131,,,minivan,58,4
Citroen Berlingo Feel M 130 1.5 HDI*Alus*Navi*AHK*PDC,13990,Guter Preis,139924,2019-03-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,74,6
"Citroen Berlingo BlueHDi 100 XL Extralang L2,5 Sitzer",13999,Fairer Preis,131000,2019-11-01,Schaltgetriebe,Diesel,75,102,4.1,115.0,minivan,66,5
Citroen Berlingo Berlingo+MPV+M+PureTech+110+FEEL,14000,Erhöhter Preis,154798,2022-05-01,Schaltgetriebe,Benzin,81,110,,,minivan,36,3
Citroen Berlingo Shine M *KAMERA*NAVI*GJR*SHZ*,14190,Sehr guter Preis,113563,2019-06-01,Schaltgetriebe,Diesel,96,131,,,minivan,71,5
Citroen Berlingo Live M*1.Hand*Klima*,14190,Guter Preis,78000,2019-04-01,Schaltgetriebe,Diesel,75,102,,,minivan,73,6
Citroen Berlingo Multispace Selection*Klima*PDC*Pano*,14274,Fairer Preis,79954,2017-03-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,98,8
Citroen Berlingo Shine MULTISPACE PureTech 110  Scheckhe.,14290,Keine Angabe,79480,2017-04-01,Schaltgetriebe,Benzin,81,110,,,minivan,97,8
Citroen Berlingo 1.5 Blue-HDI  #DAB+ #SHZ #TEMPO #KLIMA #PDC,14450,Guter Preis,102500,2018-11-01,Schaltgetriebe,Diesel,96,131,,,minivan,78,6
Citroen Berlingo L1 1.6 VTi Profi,14450,Keine Angabe,74800,2018-05-01,Schaltgetriebe,Benzin,72,98,6.5,150.0,minivan,84,7
Citroen Berlingo Feel M,14462,Erhöhter Preis,121331,2020-11-01,Schaltgetriebe,Diesel,75,102,4.1,107.0,minivan,54,4
Citroen Berlingo Feel M,14480,Fairer Preis,110000,2018-07-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,82,6
Citroen Berlingo 1.5BHDi Feel XL S&S+TEMPO+KLIMA+PDC+DAB,14490,Fairer Preis,136975,2020-06-01,Schaltgetriebe,Diesel,96,131,,,minivan,59,4
Citroen Berlingo Kombi Selection MULTISPACE,14499,Guter Preis,50784,2018-02-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,87,7
Citroen Berlingo Berlingo Kombi M LIVE BlueHDi 100 S&S,14500,Sehr guter Preis,71368,2019-09-01,Schaltgetriebe,Diesel,75,102,5.5,114.0,minivan,68,5
Citroen Berlingo Berlingo Selection PT110 S&S AHK,14590,Keine Angabe,153476,2018-09-01,Schaltgetriebe,Benzin,81,110,,119.0,minivan,80,6
"Citroen Berlingo 1.5 Blue-HDI FAP,PDC,Klima,el.FH,LED,Bluetooth,BC",14790,Fairer Preis,105442,2019-03-01,Schaltgetriebe,Diesel,75,102,,,minivan,74,6
Citroen Berlingo 1.2 PureTech Shine XTR M NAVI PANOHUD,14790,Fairer Preis,124963,2019-07-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,70,5
Citroen Berlingo Kombi Shine 1 Hand,14900,Guter Preis,27333,2017-08-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,93,7
Citroen Berlingo Live M Klima/PDC/MFL/Tempomat,14900,Fairer Preis,74099,2021-04-01,Schaltgetriebe,Benzin,81,110,5.4,123.0,minivan,49,4
Citroen Berlingo 1.6 16V PDC Cool Tech & Kinder-Paket,14950,Hoher Preis,74913,2016-03-01,Schaltgetriebe,Benzin,88,120,,,minivan,110,9
Citroen Berlingo Live M|5-Sitzer|Tempomat|Spurassistent|,14950,Sehr guter Preis,56000,2021-06-01,Schaltgetriebe,Benzin,81,110,,,minivan,47,3
Citroen Berlingo Feel M,14950,Erhöhter Preis,111400,2018-08-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,81,6
Citroen Berlingo 1.5 BlueHDi 130 Feel M DAB PDC Sitzh. Alu Feel,14950,Sehr guter Preis,98500,2019-03-01,Schaltgetriebe,Diesel,96,131,,,minivan,74,6
Citroen Berlingo Pure Tech +Kamera+CarPlay+Navi+,14970,Fairer Preis,100068,2019-04-01,Schaltgetriebe,Benzin,81,110,,,minivan,73,6
Citroen Berlingo Berlingo M BlueHDi 130 EAT8 FEEL|AUTOMATIK|R-CAM|,14980,Sehr guter Preis,139000,2019-02-01,Automatik,Diesel,96,131,6.2,164.0,minivan,75,6
Citroen Berlingo Live M,14980,Fairer Preis,89585,2018-11-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,78,6
Citroen Berlingo Selection 114/62Tkm/1 Hand/Tempomat,14990,Erhöhter Preis,62000,2012-09-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,152,12
Citroen Berlingo Shine TOP ZUSTAND AUS 2 HAND,14990,Erhöhter Preis,125000,2018-05-01,Automatik,Diesel,73,99,4.1,109.0,minivan,84,7
Citroen Berlingo 1.5 BlueHDi 100 Live M Klima*Temp*AHK*,14990,Fairer Preis,95048,2020-03-01,Schaltgetriebe,Diesel,75,102,4.0,106.0,minivan,62,5
"Citroen Berlingo 1,5 HDi/Klima/5Sitz/2xSchiebetür",14999,Guter Preis,99000,2022-01-01,Schaltgetriebe,Diesel,75,102,5.0,136.0,minivan,40,3
Citroen Berlingo Shine/ ECO/Tempomat/Bluetooth/DAB/Sitzheizung/NAVI,14999,Fairer Preis,87738,2018-03-01,Schaltgetriebe,Diesel,88,120,,,minivan,86,7
Citroen Berlingo 1.5Blue-HDI Feel M ACC##KLIMA#SHZ#DAB,14999,Keine Angabe,106132,2019-05-01,Schaltgetriebe,Diesel,96,131,,,minivan,72,6
Citroen Berlingo Kombi Selection*FLS*FES*1.Hand*AHK*,14999,Erhöhter Preis,69000,2016-06-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,107,8
Citroen Berlingo 1.5 Blue-HDi Shine M,15000,Sehr guter Preis,102039,2019-05-01,Schaltgetriebe,Diesel,96,131,,,minivan,72,6
Citroen Berlingo Kasten Profi L1 ZV 1HAND OHNE KLIMA,9990,Sehr guter Preis,46900,2019-02-01,Schaltgetriebe,Benzin,72,98,6.5,154.0,minivan,75,6
Citroen Berlingo 1.6 HDI 3Sitzer*Hygieneausbau*Catering,9999,Guter Preis,87850,2017-12-01,Schaltgetriebe,Diesel,73,99,4.3,114.0,minivan,89,7
Citroen Berlingo Live Pack M,16878,Guter Preis,54750,2022-09-01,Schaltgetriebe,Diesel,75,102,,,minivan,32,2
Citroen Berlingo Citroen Berlingo BlueHDi 130 S&S FEEL M FEEL,15100,Sehr guter Preis,135000,2018-12-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,77,6
"Citroen Berlingo BlueHDi 130 M, SHINE, Panoramadach, Schiebetür",15250,Sehr guter Preis,97000,2018-12-01,Schaltgetriebe,Diesel,96,131,,,minivan,77,6
Citroen Berlingo 1.5 HDI 130 *Shine M* Navi Pano HUD 1Hd,15450,Sehr guter Preis,112000,2019-07-01,Schaltgetriebe,Diesel,96,131,,,minivan,70,5
"Citroen Berlingo 1.5D FEEL ""M"" 5-SITZER NAVI/LED/SHZ/DAB",15450,Sehr guter Preis,93400,2020-12-01,Schaltgetriebe,Diesel,75,102,4.1,107.0,minivan,53,4
Citroen Berlingo Multispace BlueHDi 100 S&S ETG6 SHINE,15505,Keine Angabe,134500,2016-12-01,Automatik,Diesel,73,99,4.2,109.0,minivan,101,8
Citroen Berlingo Multispace 1.6 HDi,15800,Fairer Preis,30900,2017-12-01,Automatik,Diesel,73,99,4.2,109.0,minivan,89,7
Citroen Berlingo Feel M HDi 100,15900,Fairer Preis,100035,2018-07-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,82,6
"Citroen Berlingo Feel M PureTech 110 *Sitzheizung, Navi uvm.*",15970,Hoher Preis,112150,2018-12-01,Schaltgetriebe,Benzin,81,110,7.1,161.0,minivan,77,6
Citroen Berlingo Feel XL XTR,15980,Hoher Preis,192700,2019-10-01,Automatik,Diesel,96,131,4.4,117.0,minivan,67,5
Citroen Berlingo M BlueHDi 100 LIVE,15985,Erhöhter Preis,101888,2019-03-01,Schaltgetriebe,Diesel,75,102,4.1,107.0,minivan,74,6
Citroen Berlingo Selection 2.HD AUTOMATIK KLIMA PDC,15989,Hoher Preis,67000,2016-04-01,Automatik,Diesel,73,99,4.2,109.0,minivan,109,9
Citroen Berlingo Live M Klima USB Spurass. Tempomat,15990,Guter Preis,73883,2020-06-01,Schaltgetriebe,Diesel,75,102,4.0,108.0,minivan,59,4
Citroen Berlingo 1.5 Feel M PDC SHZ KAMERA NAVI W-LAN,15990,Guter Preis,119697,2019-03-01,Schaltgetriebe,Diesel,96,131,,,minivan,74,6
Citroen Berlingo Berlingo Kombi Tendance*BEHINDERTENGERECHT*,15990,Keine Angabe,123380,2013-12-01,Schaltgetriebe,Diesel,68,92,5.3,140.0,minivan,137,11
Citroen Berlingo Multispace BlueHDi 120 S&S 90 Jahre,15990,Erhöhter Preis,106210,2018-08-01,Schaltgetriebe,Diesel,88,120,4.3,113.0,minivan,81,6
Citroen Berlingo Multispace VTi 95 SELECTION,15999,Keine Angabe,52500,2018-09-01,Schaltgetriebe,Benzin,72,98,6.4,148.0,minivan,80,6
Citroen Berlingo Shine 1.5 BHDi 130 °Navi°HUD°SHZ°ACC°,17870,Sehr guter Preis,88900,2020-05-01,Schaltgetriebe,Diesel,96,131,,,minivan,60,5
Citroen Berlingo HDi 130 SHINE Navi/HUD/Pano/SHZ/Kamera,15999,Guter Preis,138000,2019-06-01,Schaltgetriebe,Diesel,96,131,4.3,,minivan,71,5
Citroen Berlingo 1.5 Blue-HDi Feel  AUTOMATIC/NAVI/KLIMA,15999,Erhöhter Preis,136303,2019-07-01,Automatik,Diesel,96,131,,,minivan,70,5
Citroen Berlingo Berlingo Kombi Diesel 5-Türer M FEEL,15999,Guter Preis,91500,2018-10-01,Schaltgetriebe,Diesel,96,131,,,minivan,79,6
Citroen Berlingo Shine XL,16000,Keine Angabe,150000,2019-10-01,N/A,Diesel,96,131,4.4,117.0,minivan,67,5
Citroen Berlingo Kasten Control XL,16350,Erhöhter Preis,35000,2020-08-01,Schaltgetriebe,Benzin,81,110,5.3,121.0,minivan,57,4
"Citroen Berlingo Live M, Navi,SH,Carplay, 8fach bereift!",16400,Fairer Preis,68090,2020-05-01,Schaltgetriebe,Benzin,81,110,5.3,123.0,minivan,60,5
Citroen Berlingo Shine Navi/SHZ/PDC/Kam/Tempomat,16480,Fairer Preis,87500,2018-03-01,Schaltgetriebe,Benzin,81,110,,,minivan,86,7
Citroen Berlingo 1.2 THP Live M Scheckheft Sitzheizung Tempomat USB,16490,Keine Angabe,72700,2019-03-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,74,6
Citroen Berlingo XL BlueHDi 130 FEEL,16499,Sehr guter Preis,103850,2019-01-01,Schaltgetriebe,Diesel,96,131,6.2,162.0,minivan,76,6
Citroen Berlingo Feel XL PureTech 130 S&S EAT8 AHK,17980,Guter Preis,110800,2020-10-01,Automatik,Benzin,96,131,,,minivan,55,4
Citroen Berlingo M PureTech 110 LIVE PACK,16590,Keine Angabe,12310,2021-07-01,Schaltgetriebe,Benzin,81,110,5.3,121.0,minivan,46,3
Citroen Berlingo Feel M 5 Sitz/2x Sch-Tür/Klima/Navi/PDC,16600,Sehr guter Preis,59000,2021-12-01,Schaltgetriebe,Benzin,81,110,5.6,145.0,minivan,41,3
Citroen Berlingo Feel XL *7-SITZ*NAVI,16650,Erhöhter Preis,104523,2020-08-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,57,4
Citroen Berlingo Berlingo+M+PureTech+110+FEEL,16800,Guter Preis,65000,2019-06-01,Schaltgetriebe,Benzin,81,110,5.5,159.0,minivan,71,5
Citroen Berlingo Feel M PT110 Klima Einparkhilfe,16870,Keine Angabe,42200,2021-12-01,Schaltgetriebe,Benzin,81,110,,,minivan,41,3
Citroen Berlingo Feel 1.2 PureTech EU6d-T M PT 110 DAB SHZ 7 Sitze.,16890,Fairer Preis,96846,2019-02-01,Schaltgetriebe,Benzin,81,110,,,minivan,75,6
Citroen Berlingo Shine M*PANO*HUD*SITZHZG*,16900,Fairer Preis,73000,2019-01-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,76,6
Citroen Berlingo Shine M 1.5 BlueHDi AHK STANDHEIZUNG PDC KAMERA SH,17990,Guter Preis,131990,2019-01-01,Automatik,Diesel,96,131,,,minivan,76,6
Citroen Berlingo Shine XL,18100,Guter Preis,117090,2019-10-01,Automatik,Benzin,96,131,5.6,162.0,minivan,67,5
"Citroen Berlingo Feel M, 7 Sitzer, AHK, Klima, Sitzheizung",16900,Keine Angabe,108000,2019-04-01,Schaltgetriebe,Benzin,81,110,,,minivan,73,6
Citroen Berlingo 1.2 XTR *Panorama*°360°Kamera*Navi*EU6*,16950,Fairer Preis,76718,2018-09-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,80,6
